env_size,epsilon,decay,gamma,alpha,all_rewards,min_reward,max_reward,mean_reward,var_reward,all_turns_elapsed,min_turns_elapsed,max_turns_elapsed,mean_turns_elapsed,var_turns_elapsed,mean_ending_epsilon
10,0.7,0.8,0.9,0.02,"[-1104, -1126, -959, -1019, -5590, -2143, -1563, -822, -4766, -931, -168, -936, -637, -1764, -486, -315, -2641, -774, -403, -1812, -1041, -445, -392, -125, 9, -1291, -688, -567, -169, -411, 43, -298, -1092, 4, 8, -310, -1361, -126, -1319, -3, -852, -12, 29, -14, -833, -506, -258, -47, -78, -624, 39, 26, -783, -189, -535, -150, -181, -370, -122, -953, -116, -76, -380, -384, -65, -311, -197, -409, -174, -582, -897, -201, 20, -643, -295, 15, -233, -10, -252, -124, -194, -148, 21, 10, 35, -327, 69, -133, -18, 14, -235, -331, -37, -21, -214, -141, -250, -46, -143, -120]",-5590,69,-534.69,839.366066683661,"[245, 284, 238, 237, 1240, 464, 359, 212, 1058, 233, 64, 218, 157, 387, 112, 84, 581, 172, 114, 409, 242, 122, 113, 55, 23, 281, 167, 141, 67, 127, 18, 86, 271, 22, 24, 98, 271, 47, 309, 31, 208, 25, 19, 29, 211, 120, 83, 33, 41, 156, 18, 21, 177, 64, 141, 60, 65, 100, 52, 236, 52, 43, 100, 106, 39, 92, 68, 116, 64, 128, 202, 72, 20, 148, 75, 25, 81, 27, 84, 54, 53, 60, 18, 26, 17, 100, 10, 54, 32, 21, 75, 74, 29, 28, 67, 57, 86, 31, 57, 46]",10,1240,137.79,180.06006192379255,0.0939524096
10,0.7,0.8,0.9,0.02,"[-56, 48, -26, -98, -236, -90, 41, -144, -536, -168, -342, -489, -184, -390, 14, 31, -130, 49, 21, -142, 67, 76, 63, -598, -350, 30, 33, -142, -355, -295, 12, -137, -7, 24, 48, -33, -549, 26, -474, 52, -226, 69, -6, -87, 64, -36, -86, 50, -294, -198, 5, -290, 65, -23, 31, 70, 28, 44, 63, -68, 16, -102, -108, 34, -176, 3, 59, -413, 25, 38, 57, -51, 56, -24, 17, -9, 37, -6, -7, 38, -22, 38, 54, 35, -329, 74, 73, 66, -78, 73, 19, -9, -30, 75, 6, 12, -1, 57, 43, -62]",-598,76,-65.83,159.9980659258105,"[33, 15, 26, 40, 80, 36, 16, 63, 140, 54, 98, 131, 64, 115, 20, 18, 62, 17, 21, 51, 12, 12, 12, 152, 99, 15, 18, 56, 113, 74, 22, 46, 27, 22, 15, 29, 143, 20, 115, 14, 68, 10, 25, 47, 13, 28, 44, 14, 68, 66, 19, 73, 12, 25, 18, 10, 20, 17, 11, 27, 18, 49, 46, 18, 57, 25, 13, 106, 19, 20, 16, 35, 14, 31, 20, 24, 17, 24, 25, 18, 27, 18, 12, 21, 84, 10, 11, 11, 40, 13, 19, 23, 28, 9, 23, 21, 27, 12, 16, 34]",9,152,37.85,33.41537819627364,0.0939524096
10,0.7,0.8,0.9,0.02,"[58, 26, -141, 15, 16, 32, 29, 67, 13, 27, 50, -106, 37, -93, -40, -84, 58, -9, -78, 57, -9, -51, 30, 40, 46, 63, 76, 0, 8, 54, 39, 12, -21, 63, -141, 56, -8, 46, -2, 35, 37, -8, -12, -12, 39, 55, 43, 17, 72, -15, -40, 4, -26, 27, 32, 4, -51, -27, 16, -18, 15, 23, -159, -101, 70, 38, 60, 53, 77, -417, 37, -2, -27, 67, 16, 43, -6, 49, 74, 36, 62, 35, -104, -57, 21, -2, 66, 19, 60, 22, 23, 17, -128, 66, 68, 68, -138, 73, 41, 31]",-417,77,5.96,69.31896133093744,"[14, 21, 53, 23, 20, 19, 15, 10, 18, 20, 12, 36, 15, 47, 33, 33, 15, 20, 43, 14, 24, 36, 21, 17, 15, 10, 9, 25, 23, 15, 16, 20, 23, 11, 49, 15, 26, 14, 29, 16, 21, 25, 25, 27, 22, 13, 14, 20, 10, 32, 28, 25, 27, 15, 17, 23, 30, 23, 25, 26, 24, 17, 47, 49, 12, 15, 13, 14, 9, 95, 18, 23, 29, 14, 22, 15, 26, 15, 10, 20, 13, 15, 42, 35, 25, 24, 10, 22, 12, 23, 20, 21, 52, 14, 11, 11, 51, 11, 16, 20]",9,95,22.78,12.697700579238745,0.0939524096
10,0.7,0.8,0.9,0.02,"[-4, -98, 7, 4, 23, 42, -18, -46, -3, 40, 64, 54, -16, -54, 56, 34, 73, 12, 47, 57, 47, 10, 73, 29, 68, 36, -6, 43, 38, 44, 52, -164, 40, -20, 66, 40, 21, 52, 62, 4, 57, 25, 41, 60, -13, 14, 5, 49, -3, 49, 15, 48, 58, -51, 65, 24, 58, 3, 55, -4, 41, 54, 28, 44, -13, 33, 55, 47, 58, 54, 23, 46, 46, 40, 10, 69, 21, 24, 54, 30, 7, 47, 45, 39, -30, 63, 31, 29, 48, 3, -6, 34, 76, 30, 56, 43, 37, 22, 39, 60]",-164,76,28.01,36.33551843582254,"[29, 38, 23, 22, 17, 19, 22, 35, 21, 18, 13, 13, 24, 33, 15, 16, 10, 22, 15, 12, 16, 24, 10, 17, 12, 15, 27, 15, 18, 15, 13, 46, 15, 29, 12, 16, 24, 15, 11, 23, 14, 20, 15, 13, 28, 24, 20, 16, 27, 16, 19, 15, 13, 36, 10, 22, 11, 19, 17, 26, 15, 18, 16, 19, 29, 22, 15, 16, 14, 13, 24, 16, 16, 18, 25, 11, 19, 19, 14, 18, 23, 15, 19, 17, 30, 11, 18, 21, 13, 24, 25, 17, 10, 20, 16, 17, 19, 21, 16, 14]",10,46,18.94,6.511251799769381,0.0939524096
10,0.7,0.8,0.9,0.02,"[41, 55, 60, 51, 31, 51, 52, 48, 60, 77, 48, 53, -10, 40, 20, 45, 68, 38, 40, 20, 5, 62, 40, 66, 17, 5, 52, 15, 70, 63, 12, 47, 13, 44, 48, 61, -66, -39, 6, 64, 72, 27, 35, 43, 46, 45, 42, 47, 56, 10, 53, 69, 54, 29, 59, 17, 74, 41, 53, 78, 44, 56, 49, 74, 25, 51, 64, 66, 61, 61, 15, 49, 63, 62, 41, 82, 6, -3, -6, 40, 27, 64, 73, 30, 20, 65, 63, 38, 54, 37, 64, 33, 68, 47, 62, 58, 53, 39, 23, 41]",-66,82,42.82,24.618440243037334,"[17, 15, 17, 16, 20, 17, 16, 17, 14, 11, 15, 19, 26, 14, 18, 19, 11, 14, 18, 19, 27, 14, 19, 10, 23, 20, 14, 21, 12, 14, 22, 16, 26, 17, 13, 14, 33, 34, 24, 14, 9, 19, 17, 19, 14, 15, 18, 16, 13, 27, 14, 12, 15, 22, 16, 25, 11, 18, 14, 11, 18, 17, 16, 12, 19, 14, 13, 13, 14, 14, 22, 16, 14, 13, 17, 8, 23, 25, 27, 20, 20, 13, 11, 18, 22, 14, 12, 18, 16, 18, 13, 16, 10, 16, 12, 15, 14, 17, 19, 19]",8,34,16.93,4.790104382996263,0.0939524096
10,0.7,0.8,0.9,0.02,"[48, 65, 39, 2, 56, 67, 52, 55, 65, 40, 16, 48, 49, 53, 0, 63, 60, 48, 34, 37, 40, 45, 55, 66, 48, 35, 44, 73, 48, 69, 40, 34, 27, 15, 60, 61, 63, 6, 10, 63, 41, 68, 61, 46, 46, 57, 24, 23, 11, 40, 19, 63, 20, 37, -50, 56, 24, 64, -42, 34, 23, 52, 38, -27, 22, 0, 2, 65, 54, 61, 41, -10, 53, 64, 17, 32, 34, 38, 27, 47, 55, 6, 23, 15, 10, 34, 28, 5, 35, 32, 27, 40, 59, 76, 12, 55, 44, 29, 52, 58]",-50,76,37.69,23.874545021842824,"[15, 13, 17, 27, 12, 14, 16, 16, 12, 15, 20, 14, 15, 15, 31, 11, 12, 16, 22, 15, 20, 15, 15, 9, 15, 19, 20, 10, 19, 13, 19, 15, 19, 20, 15, 12, 13, 24, 23, 15, 16, 15, 14, 14, 16, 16, 20, 19, 21, 18, 25, 12, 22, 20, 33, 15, 20, 11, 32, 19, 21, 13, 14, 30, 19, 27, 23, 10, 14, 14, 17, 29, 19, 12, 21, 20, 19, 17, 21, 17, 15, 25, 21, 27, 19, 21, 19, 25, 16, 18, 20, 15, 10, 10, 26, 15, 16, 19, 15, 13]",9,33,17.78,5.100156860332827,0.0939524096
10,0.7,0.8,0.9,0.02,"[69, 49, 63, 71, 29, 59, 63, 71, 74, 36, 60, 57, 48, 69, 19, -9, 11, 56, 73, 64, 44, 19, 63, 64, -3, 34, 16, 64, 48, 65, 37, 71, 58, 55, 71, 18, 36, 28, 57, 37, 56, 56, 54, -14, 34, 60, 32, 33, 33, 31, 30, 28, 61, 37, 44, 25, 34, 24, 67, 46, 31, 30, 52, 37, 59, 62, 58, 43, 52, 39, 48, 38, 55, 50, 24, 25, 32, 8, 23, -24, 45, 37, 32, 37, 30, 54, 34, 68, 55, 32, 26, 64, 12, -10, 64, 66, 29, 54, 52, 57]",-24,74,42.65,20.6472153086076,"[10, 17, 11, 11, 22, 13, 14, 12, 10, 18, 13, 12, 17, 13, 20, 30, 25, 18, 11, 12, 16, 20, 15, 14, 23, 20, 23, 11, 18, 11, 20, 12, 12, 13, 11, 22, 17, 22, 15, 17, 18, 17, 16, 28, 21, 12, 19, 18, 22, 21, 20, 19, 12, 20, 16, 24, 18, 17, 11, 16, 16, 20, 13, 16, 11, 14, 16, 18, 14, 19, 17, 15, 15, 18, 22, 20, 16, 27, 22, 28, 15, 21, 21, 20, 20, 13, 20, 11, 13, 18, 22, 13, 23, 28, 13, 10, 21, 16, 16, 16]",10,30,17.13,4.564329085418798,0.0939524096
10,0.7,0.8,0.9,0.02,"[13, 63, 35, 46, 57, 67, 55, 72, 44, 44, 47, 55, 44, 21, 49, 68, 48, 37, 37, 8, -16, 23, 41, 27, 39, 69, 46, 64, 25, 70, 45, -30, 19, 48, 53, 39, 60, 63, 64, 72, 69, -25, 12, 56, 23, 70, 53, 45, 54, 51, 65, 69, 62, 55, 46, 69, 64, 76, 8, 60, 62, 48, 13, 67, 46, 52, 35, 36, 58, 47, 75, 25, 25, 59, 67, 22, -5, 51, 42, 73, 55, 38, 64, 45, 67, 46, 32, 63, 57, 54, 57, 61, 43, 28, -12, 46, 47, 72, 55, 45]",-30,76,45.74,21.89731490388719,"[25, 10, 19, 17, 12, 11, 13, 11, 15, 17, 18, 12, 16, 21, 14, 12, 16, 18, 16, 23, 31, 22, 21, 20, 16, 11, 18, 13, 23, 10, 16, 30, 22, 14, 16, 16, 16, 14, 12, 12, 12, 30, 22, 12, 23, 12, 17, 17, 16, 14, 11, 12, 11, 13, 16, 13, 13, 10, 24, 12, 12, 18, 23, 11, 17, 16, 18, 21, 15, 12, 9, 19, 19, 13, 11, 20, 27, 15, 16, 11, 16, 18, 13, 16, 12, 17, 20, 16, 16, 16, 16, 14, 16, 21, 32, 13, 15, 10, 15, 15]",9,32,16.29,4.835897021236081,0.0939524096
10,0.7,0.8,0.9,0.02,"[21, 50, 62, 51, 63, 28, 59, 50, 34, 48, 43, 64, 49, 38, -10, 74, 55, 63, 50, 54, 39, 55, 44, 45, 13, 73, 56, 74, 70, 35, 23, 46, -2, 45, 72, 35, 64, 66, 23, 53, 64, 63, 27, 76, 25, 57, 40, 38, 69, -34, 54, 56, 52, 47, 47, 29, 51, 29, -5, 20, 30, 62, 38, 25, 32, 50, 24, 74, 66, 77, 62, -12, 39, 43, 36, 75, 45, 60, 73, 58, 55, 56, 51, 79, 32, 51, 44, 75, 27, 32, 42, 35, 68, 25, 17, 73, 65, 48, 47, 42]",-34,79,46.01,21.008805296827326,"[18, 15, 13, 14, 14, 26, 17, 16, 20, 15, 19, 13, 17, 16, 31, 10, 13, 12, 17, 13, 20, 15, 13, 15, 19, 11, 17, 10, 12, 20, 21, 17, 25, 20, 9, 18, 13, 10, 20, 15, 12, 12, 21, 11, 22, 14, 20, 18, 11, 37, 13, 17, 13, 15, 16, 17, 14, 18, 24, 27, 19, 11, 16, 21, 18, 15, 19, 10, 12, 9, 16, 27, 17, 17, 17, 12, 16, 13, 11, 13, 15, 13, 17, 10, 16, 14, 16, 9, 20, 16, 17, 20, 13, 20, 20, 12, 12, 15, 16, 18]",9,37,16.19,4.700414875306221,0.0939524096
10,0.7,0.8,0.9,0.02,"[66, 74, 42, 48, 46, 58, 59, 30, 51, 12, 62, 68, 57, 46, 1, 77, -11, 71, 68, 27, -26, 76, 61, 53, 21, 40, 49, 23, -8, 4, 74, 56, 71, 54, 30, 65, 60, 48, 29, 74, 51, 51, 46, 50, 32, 62, -5, 41, 63, 28, 30, 66, 59, 70, 65, 48, 14, 40, -3, 32, 37, 48, 36, 49, 66, 21, 74, 63, 14, 27, 61, 51, 57, 51, 52, 45, 76, 24, 63, 72, 13, 22, 31, 61, 46, 28, 64, -4, 63, -8, 61, 48, 41, 48, 58, 57, 38, 64, 39, 63]",-26,77,44.66,22.890268674701048,"[10, 11, 19, 17, 17, 13, 13, 19, 16, 20, 13, 11, 18, 17, 26, 12, 25, 12, 11, 16, 27, 8, 12, 14, 23, 15, 13, 19, 29, 24, 10, 13, 9, 16, 21, 12, 13, 15, 19, 13, 12, 14, 15, 15, 19, 12, 25, 21, 12, 20, 19, 10, 15, 12, 10, 19, 22, 17, 29, 18, 19, 14, 16, 16, 10, 18, 13, 14, 25, 19, 15, 20, 13, 16, 14, 19, 10, 22, 11, 12, 23, 23, 21, 13, 16, 18, 13, 25, 11, 22, 15, 15, 18, 12, 15, 17, 20, 12, 17, 11]",8,29,16.3,4.723346271447817,0.0939524096
