env_size,epsilon,decay,gamma,alpha,all_rewards,min_reward,max_reward,mean_reward,var_reward,all_turns_elapsed,min_turns_elapsed,max_turns_elapsed,mean_turns_elapsed,var_turns_elapsed,mean_ending_epsilon
10,0.6,0.9,0.9,0.01,"[-483, -1585, -2312, -430, -1042, -1782, -1149, -749, -5, -2644, -1026, -442, -295, -1410, -627, -1104, -671, -2823, -2594, -677, -269, -1790, -603, -784, -377, -274, -708, -1485, -1057, -149, -293, -658, -2113, -322, -572, -701, -1963, -465, -265, -547, -740, -675, -270, -231, -86, -423, -546, -318, -621, -405, -1484, -760, -691, -68, -530, -738, -273, -17, -377, -62, -411, -281, -433, -722, -1005, -770, -298, -551, -202, -1083, -282, -259, -183, -76, -196, -128, -205, -11, -385, -403, -193, -1591, -83, -492, -287, -224, -617, -98, -506, -1770, -186, -202, -57, -835, -670, -913, -37, -1164, -1489, 2]",-2823,2,-678.56,618.5658141216666,"[122, 347, 539, 114, 239, 368, 276, 166, 24, 588, 254, 107, 79, 328, 141, 264, 154, 603, 566, 161, 81, 395, 144, 177, 98, 83, 154, 343, 255, 61, 85, 155, 453, 108, 139, 163, 427, 110, 91, 148, 199, 158, 86, 66, 39, 119, 129, 81, 134, 119, 350, 185, 170, 33, 125, 160, 86, 27, 93, 42, 107, 82, 118, 201, 234, 186, 80, 138, 75, 253, 89, 78, 68, 45, 69, 54, 67, 28, 95, 112, 55, 381, 36, 116, 78, 58, 153, 43, 137, 392, 59, 62, 35, 202, 162, 220, 38, 273, 325, 20]",20,603,165.35,130.46703606658656,0.09005678117819953
10,0.6,0.9,0.9,0.01,"[-1555, -259, -470, -44, -559, -864, -452, -218, -141, -486, -309, -947, -599, -186, -312, -106, -400, -909, -84, -596, -601, -466, -95, -76, -516, -1653, -835, -236, -455, -1708, -91, -1083, -798, -72, -79, -155, -50, 19, -130, -500, -118, -364, -71, -630, -359, -218, -220, -304, 3, -214, -55, -758, -295, -31, -165, -113, -301, -144, -17, 12, -71, -57, -291, -119, -255, -458, -680, -49, -72, -120, -897, -220, -183, -145, -177, -251, 9, -130, -54, -559, -101, -349, -1, 0, -79, -89, -172, -354, -293, -142, -370, -338, -7, -148, -185, -441, 10, 0, -16, -177]",-1708,19,-314.69,341.7120335896879,"[343, 69, 118, 30, 140, 193, 120, 75, 56, 120, 90, 220, 135, 63, 82, 42, 117, 202, 41, 146, 154, 123, 42, 35, 120, 380, 200, 85, 111, 387, 45, 239, 199, 41, 44, 55, 34, 20, 51, 127, 48, 105, 44, 165, 94, 68, 70, 84, 25, 63, 30, 172, 82, 30, 51, 53, 81, 58, 31, 18, 37, 36, 76, 44, 79, 136, 166, 37, 37, 45, 210, 68, 60, 53, 62, 79, 24, 48, 36, 138, 47, 93, 19, 18, 41, 52, 57, 95, 90, 53, 102, 96, 28, 62, 65, 124, 23, 22, 25, 64]",18,387,89.13,71.36647041853759,0.09005678117819953
10,0.6,0.9,0.9,0.01,"[-258, -15, -213, -687, -167, -75, -37, -68, -13, -96, -215, -164, -239, -449, -103, -236, 2, -123, -42, -61, -573, -19, -179, 12, -3, -665, -316, -146, -20, -164, 8, -15, -268, -150, -94, -69, -37, -520, -360, 16, -717, -316, -49, -144, -225, -1, 11, -25, 1, -1076, -118, -7, -24, -196, -586, -56, 11, -366, -3, 40, -126, -90, -317, -323, -2, -342, 51, -71, -160, -50, 41, 30, -50, -2, -473, -72, 47, 40, 9, -123, -246, -104, 25, 12, -251, -5, -338, 46, 35, -21, -96, -196, -84, -3, 34, -139, -46, 1, -35, -22]",-1076,51,-140.83,196.9257756110154,"[75, 25, 72, 164, 60, 35, 30, 38, 31, 43, 69, 62, 78, 115, 39, 75, 22, 62, 32, 38, 138, 26, 63, 20, 23, 151, 84, 58, 26, 60, 20, 28, 72, 47, 38, 37, 37, 124, 91, 23, 161, 91, 40, 52, 74, 20, 23, 29, 23, 233, 49, 25, 29, 65, 135, 30, 20, 105, 24, 17, 52, 43, 87, 84, 25, 99, 17, 39, 58, 40, 17, 22, 39, 20, 96, 42, 17, 20, 21, 46, 77, 41, 20, 22, 70, 26, 93, 16, 20, 26, 47, 56, 46, 29, 16, 45, 31, 26, 38, 30]",16,233,52.35,38.36179740314575,0.09005678117819953
10,0.6,0.9,0.9,0.01,"[-11, -3, -54, -622, -154, 36, -92, -182, -19, -48, -320, -60, 34, -76, -49, -14, 4, 28, -212, -82, 49, 14, -111, -146, 11, -21, -118, -219, 18, -317, -201, -183, -11, 39, 28, -277, -15, -195, -55, 53, -161, -398, 25, 31, 8, 44, -168, 31, -59, 34, 17, -318, -39, -139, -176, -375, -45, 63, -196, -18, 57, 46, 8, 3, -23, 8, 40, 27, 10, -73, -77, -110, 33, -39, 24, -113, 13, -35, -26, 53, -168, 45, 45, -72, -7, -1, 48, -205, 25, -107, -55, 46, 4, -8, 25, 43, 50, -113, -22, 41]",-622,63,-59.52,118.38779328967999,"[25, 26, 35, 153, 60, 16, 38, 59, 28, 34, 102, 37, 16, 39, 34, 27, 24, 18, 76, 41, 14, 21, 47, 51, 19, 30, 51, 80, 20, 90, 60, 53, 26, 16, 15, 83, 34, 59, 33, 11, 60, 103, 20, 20, 22, 15, 62, 18, 42, 16, 26, 95, 34, 53, 52, 103, 35, 14, 57, 26, 12, 16, 22, 20, 29, 24, 17, 16, 20, 32, 45, 48, 19, 34, 18, 46, 22, 33, 31, 16, 57, 15, 15, 34, 26, 28, 14, 65, 21, 46, 33, 17, 25, 29, 20, 14, 16, 50, 28, 13]",11,153,36.6,24.783462227864774,0.09005678117819953
10,0.6,0.9,0.9,0.01,"[-306, -43, -183, 28, -22, -133, -3, -79, 47, -41, -26, -58, -150, -35, 49, 38, 23, -332, -133, 49, -2, -80, 17, 16, -30, -39, 46, -36, -128, 27, -55, 19, -65, 44, 46, 6, 13, -229, -154, -134, -47, 35, -119, 34, 54, -1, -46, 27, 11, -46, -107, -76, 56, -65, 32, -59, -13, 21, -93, -93, 35, -30, -75, -119, -199, -41, 8, 23, -5, -46, 0, -69, 22, -47, 23, -30, 12, -82, 4, -60, 49, -25, -85, -294, 11, 59, 19, 62, 23, -60, -249, -59, -39, -89, -20, -63, -12, -190, 28, 40]",-332,62,-40.93,82.12554474705175,"[89, 32, 60, 18, 30, 55, 21, 41, 15, 33, 32, 35, 54, 40, 18, 17, 15, 93, 55, 14, 29, 37, 24, 17, 40, 31, 16, 35, 56, 22, 34, 17, 34, 16, 15, 25, 24, 78, 52, 49, 31, 17, 40, 16, 15, 27, 32, 18, 19, 32, 48, 41, 12, 43, 18, 38, 22, 18, 44, 56, 18, 32, 45, 57, 60, 29, 21, 21, 25, 37, 23, 34, 19, 36, 19, 27, 19, 45, 27, 34, 18, 28, 33, 88, 22, 13, 27, 12, 21, 40, 67, 37, 30, 35, 24, 37, 25, 63, 18, 15]",12,93,32.86,17.197104407428593,0.09005678117819953
10,0.6,0.9,0.9,0.01,"[22, -5, 65, -43, 24, 47, -90, -357, -111, -91, 21, 47, 35, 52, 46, 29, -81, 34, -5, -3, 65, 17, 13, -15, 12, 29, -48, 27, 35, -120, -11, 49, 28, 14, -52, 44, -17, -241, 43, 25, -66, 1, 10, 29, 48, -86, 57, 29, 31, -35, 0, -37, -317, -4, -70, 16, 73, 25, 61, 46, 75, -152, 14, 18, 8, 30, 41, 23, 16, -16, 42, 69, -15, -14, 62, 17, 38, -47, 65, 1, 43, -59, -2, 48, 16, -177, 5, -6, 63, -109, 46, -47, -422, 46, 37, -218, 17, 20, -3, 29]",-422,75,-10.54,86.44725790908582,"[21, 29, 13, 39, 21, 15, 36, 94, 47, 42, 20, 15, 21, 14, 15, 21, 38, 18, 18, 29, 15, 22, 27, 30, 19, 16, 32, 22, 19, 49, 28, 20, 19, 25, 31, 16, 28, 62, 17, 23, 40, 25, 19, 21, 17, 48, 12, 18, 19, 32, 24, 37, 83, 24, 43, 26, 13, 20, 14, 14, 9, 51, 21, 24, 25, 23, 17, 21, 21, 26, 15, 13, 28, 21, 12, 20, 19, 37, 13, 25, 20, 30, 23, 16, 22, 62, 19, 26, 13, 42, 14, 35, 111, 13, 21, 61, 18, 20, 22, 18]",9,111,26.82,16.575512058455388,0.09005678117819953
10,0.6,0.9,0.9,0.01,"[-146, 64, -127, 0, -325, 39, -12, 36, 14, -4, -58, -16, 34, -59, 4, -15, 19, -226, 58, -17, 11, 48, -15, -141, -27, -71, 19, 21, 34, 0, -15, 33, -31, 20, -58, 61, 55, -43, 29, -5, 3, -3, 31, 57, -36, 7, 32, 57, 50, -16, 33, 42, 49, 60, 19, -39, 61, -204, -32, 9, 51, -29, 48, 28, 32, -1, 40, 54, 19, 2, 4, -48, 42, -5, -112, 19, 27, 37, 36, 40, 6, 39, 42, 13, 54, -62, 2, -49, -82, 22, 13, 53, 32, 52, 31, 47, 4, 0, 2, -60]",-325,64,-1.89,63.00093570733692,"[51, 10, 47, 26, 88, 25, 26, 14, 20, 21, 33, 33, 18, 29, 20, 25, 20, 67, 13, 27, 26, 18, 27, 44, 27, 37, 24, 19, 16, 22, 29, 19, 30, 20, 44, 12, 14, 30, 15, 22, 27, 23, 22, 12, 29, 20, 15, 12, 15, 32, 20, 18, 16, 12, 21, 32, 13, 59, 28, 22, 13, 28, 16, 20, 19, 28, 14, 16, 21, 23, 23, 36, 16, 23, 50, 17, 18, 17, 13, 20, 20, 16, 14, 22, 14, 32, 22, 33, 36, 25, 17, 16, 18, 16, 16, 15, 25, 24, 25, 35]",10,88,24.28,12.005898550296019,0.09005678117819953
10,0.6,0.9,0.9,0.01,"[7, 45, -49, -2, -69, 62, 68, 72, 51, 6, 23, -63, 11, -43, 47, 13, 5, -55, -72, 12, 49, -81, 45, 7, 19, 42, 2, 10, -20, -44, -316, 22, 14, 19, 23, 56, 34, -22, 18, -25, 45, 18, 24, 26, 61, 67, 58, -16, 25, 30, -32, 58, 11, 54, 28, -29, -6, 38, -4, 21, -41, -4, -28, 34, -36, -71, 47, 63, 62, -31, 54, 57, -95, 20, 42, -68, 40, 37, 54, -2, 38, 23, 12, 60, -20, -87, -10, -132, 50, 51, -4, 43, 36, 33, 54, 37, 16, -2, 36, 37]",-316,72,8.03,53.25362992322683,"[20, 17, 31, 22, 35, 15, 11, 12, 19, 20, 19, 42, 22, 33, 14, 20, 23, 34, 37, 22, 15, 37, 19, 21, 18, 16, 22, 21, 31, 28, 97, 21, 23, 18, 19, 15, 18, 27, 21, 26, 17, 27, 20, 19, 12, 11, 16, 28, 20, 16, 24, 13, 20, 16, 20, 27, 26, 20, 24, 21, 30, 25, 28, 19, 32, 37, 14, 14, 12, 26, 13, 14, 47, 22, 18, 35, 18, 22, 15, 28, 16, 18, 22, 14, 27, 33, 29, 57, 17, 14, 27, 16, 17, 14, 15, 17, 18, 22, 21, 16]",11,97,22.77,10.91041245783128,0.09005678117819953
10,0.6,0.9,0.9,0.01,"[46, 54, 64, 15, -8, -91, -89, 10, 13, 57, 14, 18, 66, 22, 6, 42, -102, 20, 41, 38, -19, 55, 14, 43, -15, 21, 32, 46, 45, 43, 62, 27, 36, 42, 38, 67, 59, 40, 70, 4, 54, -11, 67, 58, -46, 38, 60, 37, 50, 51, 39, 62, 31, 35, 59, 77, 39, 44, 17, 53, 38, 56, 57, -9, -45, 64, 19, 59, 7, -2, 62, -23, -12, 16, 50, 39, 46, 56, 25, 29, 42, 48, 27, 52, 18, 46, 15, 51, 30, 53, 54, 42, 51, 43, 10, -34, 14, 17, 34, 59]",-102,77,29.64,33.5417709729227,"[15, 17, 13, 21, 26, 40, 43, 23, 24, 12, 24, 19, 12, 25, 19, 21, 44, 19, 16, 14, 31, 14, 24, 16, 23, 22, 17, 17, 15, 17, 13, 19, 19, 18, 16, 12, 14, 20, 12, 25, 18, 25, 14, 16, 31, 14, 12, 20, 12, 15, 19, 11, 20, 17, 15, 11, 16, 19, 20, 14, 15, 15, 15, 28, 38, 15, 18, 13, 24, 23, 14, 24, 24, 20, 16, 14, 16, 15, 19, 19, 16, 14, 16, 14, 24, 13, 24, 15, 20, 14, 13, 20, 14, 16, 20, 28, 23, 24, 20, 14]",11,44,18.97,6.422546224045414,0.09005678117819953
10,0.6,0.9,0.9,0.01,"[40, 67, 37, 27, -3, 17, 54, 9, 15, 40, 7, 69, 42, 7, 23, 50, 41, 60, 40, 38, 0, 58, 54, -68, 32, 58, -21, 62, 45, -142, 59, 21, 33, 43, 49, 18, -103, 2, -6, 42, 41, 41, 16, 9, 53, 26, 34, 36, 49, 67, 58, 27, 58, 60, 39, 42, 5, 48, -32, -39, 50, 33, 20, 70, 43, 37, 49, 42, -5, 24, 3, 64, 79, 71, 63, 23, 21, 21, 48, 45, 44, 29, 47, 5, 33, 24, 5, 1, 13, 22, 54, -2, 40, 46, 40, 27, 52, 59, 31, 63]",-142,79,29.88,33.30353734965702,"[18, 11, 18, 18, 25, 19, 13, 21, 22, 15, 24, 13, 14, 20, 20, 19, 17, 13, 17, 20, 22, 16, 16, 38, 21, 16, 30, 12, 17, 51, 13, 18, 17, 14, 15, 20, 40, 22, 31, 18, 19, 19, 22, 22, 14, 19, 17, 17, 15, 14, 14, 20, 14, 15, 17, 16, 19, 16, 29, 34, 14, 14, 20, 12, 19, 15, 15, 16, 26, 19, 24, 10, 10, 13, 11, 21, 19, 19, 15, 15, 13, 21, 14, 24, 18, 20, 27, 24, 22, 21, 13, 23, 15, 16, 19, 16, 15, 13, 20, 14]",10,51,18.71,6.282189108901451,0.09005678117819953
10,0.6,0.9,0.9,0.01,"[25, 42, 21, 60, -39, 47, 53, 11, 40, 29, 37, 70, 35, 45, 45, 16, 57, 47, 13, 56, 40, 10, 15, 75, 51, 27, 34, 67, 46, 20, 26, 32, 36, 34, 54, 47, 47, 37, 67, 63, 50, 54, 15, 41, 39, 45, 3, 47, 46, 57, 30, 34, 26, 29, 61, 16, 57, 61, 49, -34, 1, 29, 16, 57, 47, 32, 61, 36, 7, 25, 17, -16, 45, -17, 68, 51, 10, 65, 70, 47, 54, 30, 43, 54, 45, 5, 17, 8, 30, 54, 45, 26, 45, 33, 21, 35, 34, 25, 15, 32]",-39,75,35.66,21.427188336317016,"[20, 15, 18, 12, 30, 14, 14, 20, 15, 18, 17, 13, 17, 15, 17, 23, 14, 16, 22, 15, 16, 29, 20, 12, 16, 18, 18, 12, 19, 20, 16, 19, 17, 19, 15, 17, 17, 18, 12, 14, 16, 16, 22, 15, 18, 15, 21, 15, 15, 16, 20, 18, 22, 22, 15, 22, 15, 12, 18, 27, 27, 22, 23, 14, 19, 15, 15, 17, 24, 19, 18, 28, 15, 26, 13, 15, 21, 12, 13, 14, 15, 21, 18, 16, 15, 24, 22, 18, 20, 13, 15, 16, 18, 20, 18, 20, 16, 18, 23, 19]",12,30,17.84,3.915916240166534,0.09005678117819953
