env_size,epsilon,decay,gamma,alpha,all_rewards,min_reward,max_reward,mean_reward,var_reward,all_turns_elapsed,min_turns_elapsed,max_turns_elapsed,mean_turns_elapsed,var_turns_elapsed,mean_ending_epsilon
10,0.6,0.9,0.9,0.02,"[-706, -1860, -1036, -700, -716, -396, -3086, -622, -1626, -1154, -2049, -51, -1964, -4511, -130, -573, -648, -2178, -3580, -84, -2238, -675, -86, -1725, -290, -1099, -1307, -35, -1472, -673, -739, -41, 6, -652, -179, -491, -44, -102, 49, -255, -20, -712, -50, -369, 25, -692, -450, -467, 23, -62, -301, -155, -1297, -30, -51, -648, -45, -39, -199, -148, -6, 74, -137, -1229, -75, 29, 22, -623, -217, -86, -279, 27, -303, -233, -95, -477, -614, -290, -6, -79, -254, -112, -765, -605, -472, -456, -386, -94, 63, -152, -160, 34, -144, -88, -409, -43, -400, -308, -293, -46]",-4511,74,-550.92,779.865689461974,"[164, 410, 251, 164, 172, 111, 669, 175, 360, 281, 464, 31, 420, 1010, 46, 135, 162, 489, 805, 47, 506, 172, 43, 350, 91, 255, 292, 29, 326, 166, 165, 34, 21, 146, 53, 134, 32, 46, 15, 83, 26, 180, 31, 106, 24, 164, 126, 113, 19, 35, 91, 58, 297, 31, 37, 173, 33, 32, 65, 62, 28, 11, 58, 278, 37, 17, 15, 159, 73, 34, 83, 22, 89, 76, 45, 120, 154, 80, 27, 44, 87, 46, 184, 152, 115, 125, 104, 56, 14, 64, 59, 18, 54, 51, 98, 35, 117, 83, 84, 31]",11,1010,140.55,166.26529252973995,0.09005678117819953
10,0.6,0.9,0.9,0.02,"[-23, -209, 47, -1202, 1, -80, 43, -41, 22, 50, -130, -91, 5, -278, -1, -391, -88, 32, -291, 8, -451, -26, -131, -274, -239, 50, 32, 28, -491, 18, 12, -285, -198, -49, -79, -2, -177, 2, 56, 62, -74, -51, 38, -164, -22, 34, -21, 6, 71, -15, -16, 18, 7, 41, -31, -195, -65, -108, -33, -71, 65, -235, 45, -25, -273, 53, -960, -338, -2, 37, 19, -19, -43, -268, -39, -349, 5, 54, -36, -57, 21, 26, 8, 59, -69, 19, -88, 14, -130, 29, 3, -97, -37, 51, 57, 16, -14, -68, 14, 12]",-1202,71,-79.5,187.9938562825924,"[36, 70, 13, 283, 26, 48, 18, 37, 21, 16, 50, 44, 19, 80, 24, 102, 43, 19, 86, 22, 117, 37, 46, 91, 73, 14, 14, 22, 116, 19, 26, 83, 67, 38, 42, 30, 63, 27, 16, 13, 38, 37, 15, 56, 24, 21, 31, 25, 9, 31, 24, 18, 23, 15, 37, 65, 38, 49, 34, 36, 14, 75, 17, 32, 80, 13, 211, 87, 27, 20, 21, 21, 27, 85, 31, 95, 26, 12, 36, 35, 20, 19, 23, 11, 35, 19, 41, 19, 54, 17, 22, 42, 32, 14, 17, 19, 24, 31, 21, 22]",9,283,41.04,38.69080510922459,0.09005678117819953
10,0.6,0.9,0.9,0.02,"[34, -35, -50, 72, -62, -131, -28, 42, 18, 55, 23, -102, 36, 24, 22, 18, 71, -198, 13, 38, 55, -27, 20, -176, 20, -38, 49, 36, -108, 24, -147, -10, 14, -38, 39, -291, 0, 30, 62, 33, -16, 45, -4, 48, 63, -72, 71, 27, 30, -209, -107, -33, 35, -257, 19, 48, 5, -1, -190, -61, 49, -84, 40, -102, -41, -3, 9, 62, 35, 61, 43, 37, 74, -64, 24, 44, -48, 12, 28, 15, 49, 34, 5, -53, 45, 57, 47, 17, 4, 46, 55, 3, 57, 57, 35, -44, 60, 42, 40, -40]",-291,74,-4.45,73.31539742782549,"[22, 27, 34, 11, 36, 44, 31, 21, 24, 14, 19, 49, 20, 21, 20, 22, 12, 67, 24, 20, 13, 33, 21, 58, 21, 29, 13, 18, 51, 19, 56, 27, 28, 27, 16, 71, 24, 17, 11, 20, 29, 16, 23, 17, 13, 36, 9, 22, 17, 53, 46, 31, 16, 66, 18, 15, 21, 23, 59, 37, 14, 40, 16, 45, 36, 24, 22, 16, 17, 12, 17, 17, 11, 40, 21, 15, 31, 23, 18, 24, 15, 20, 25, 29, 16, 13, 16, 23, 22, 19, 14, 23, 14, 14, 22, 29, 11, 17, 18, 31]",9,71,25.28,13.343972422033854,0.09005678117819953
10,0.6,0.9,0.9,0.02,"[-39, -35, 66, 2, 35, 26, 17, -18, 10, 14, 31, 66, 9, -36, 23, 26, 32, -91, 16, 20, 33, 40, -33, 23, 36, 61, 59, 64, 23, 29, 24, -8, 41, 20, 22, 3, 49, 12, 41, 64, 27, 5, 49, 66, 47, -47, 17, 60, 48, -26, 70, 51, -40, 22, 57, 48, 27, 37, -15, 28, 34, -18, 72, 54, 38, 39, 37, 53, 32, 42, 17, 31, 31, -3, -54, 10, 54, -35, 6, 16, -4, 45, 52, 10, 18, 74, 20, -12, 34, 66, 54, 27, 26, 46, 65, 41, 46, -1, 1, 19]",-91,74,23.91,31.330526647345078,"[31, 30, 13, 21, 16, 19, 22, 30, 29, 22, 19, 12, 20, 24, 20, 18, 20, 33, 19, 23, 18, 18, 33, 21, 22, 12, 14, 12, 23, 17, 20, 25, 17, 24, 20, 25, 16, 23, 18, 15, 21, 20, 16, 16, 16, 33, 22, 16, 16, 27, 10, 15, 38, 22, 11, 17, 21, 17, 27, 23, 16, 30, 11, 15, 20, 14, 13, 13, 15, 16, 23, 17, 22, 28, 34, 23, 15, 31, 23, 19, 24, 18, 14, 25, 19, 12, 24, 28, 16, 12, 13, 22, 19, 16, 14, 12, 15, 25, 20, 21]",10,38,20.05,5.931905258852336,0.09005678117819953
10,0.6,0.9,0.9,0.02,"[36, 11, 22, 32, -2, 38, 58, 20, 41, 70, -30, 0, -12, 60, 24, 40, 70, 44, 46, 23, 45, 50, 19, 34, 65, 71, 38, 50, 42, -3, 33, 5, 59, 44, -5, 45, 20, 49, 11, 2, 18, 57, 9, 63, 29, -39, -86, 51, -101, 17, 39, 13, 59, -43, 19, 15, 35, 46, 36, 40, 61, 61, 56, 61, 49, 36, 23, -45, 24, 29, 21, 24, 55, 44, 24, 39, 15, 47, 24, 68, -83, -38, 60, 34, 19, 22, -17, -111, 8, -13, 58, 31, -22, 47, -45, 32, -189, 46, 36, 35]",-189,71,21.68,41.92156485628846,"[21, 23, 21, 17, 25, 19, 14, 25, 17, 15, 30, 25, 28, 14, 21, 17, 13, 15, 19, 18, 17, 17, 20, 16, 15, 9, 15, 17, 17, 27, 22, 24, 15, 17, 28, 16, 20, 13, 22, 23, 23, 11, 23, 13, 17, 28, 34, 16, 46, 24, 19, 23, 13, 31, 21, 24, 19, 12, 18, 18, 13, 15, 14, 11, 15, 19, 23, 38, 21, 19, 18, 21, 13, 15, 21, 18, 19, 16, 19, 11, 34, 29, 14, 18, 23, 21, 23, 42, 20, 23, 12, 19, 31, 18, 29, 20, 54, 15, 16, 18]",9,54,20.38,7.307229297072865,0.09005678117819953
10,0.6,0.9,0.9,0.02,"[21, 26, 69, 32, -33, 36, 58, 39, 21, 5, 53, 22, 33, 46, 33, 30, 36, 32, -42, 0, 9, 34, 41, 37, 59, 24, 31, 53, 3, 24, 35, 63, 35, 5, 49, 29, 64, 39, 43, 42, 40, 40, 46, 32, 59, 11, -8, 46, 38, 12, 39, 45, 52, 60, 51, -20, 42, 27, 71, 21, 50, 37, 29, 56, 49, 55, 52, 43, 8, 39, 17, 38, 69, 1, 10, 39, 44, 53, 35, 54, 47, 36, 20, 54, 50, 63, -2, 50, 27, 54, -44, 64, 69, 14, 55, 47, 62, 60, 52, 42]",-44,71,35.38,22.841094544701658,"[23, 23, 11, 17, 34, 19, 15, 16, 21, 20, 17, 22, 19, 15, 17, 18, 20, 17, 27, 27, 25, 21, 18, 15, 12, 18, 15, 14, 23, 19, 17, 11, 18, 23, 18, 19, 11, 18, 16, 14, 17, 18, 12, 18, 14, 20, 26, 19, 17, 22, 21, 14, 14, 12, 16, 24, 16, 21, 12, 19, 14, 16, 19, 17, 15, 13, 13, 18, 22, 16, 21, 18, 13, 20, 24, 16, 19, 14, 18, 15, 14, 20, 19, 15, 12, 13, 26, 15, 21, 16, 33, 12, 11, 19, 18, 15, 11, 14, 17, 18]",11,34,17.75,4.409931972264425,0.09005678117819953
10,0.6,0.9,0.9,0.02,"[50, 53, 26, 3, 55, 44, 33, 35, 56, 20, -4, -111, 25, -95, -30, 67, 47, -92, 56, 2, 51, 75, 21, 47, 33, 68, 55, 66, 34, 62, 5, 26, 23, 24, 72, 35, 29, 1, 18, 61, 28, 73, 15, 7, 60, 37, 72, 25, 30, 26, 55, 55, -33, 40, 52, 24, 10, 33, 63, 61, 40, 39, 46, 60, 68, 22, 56, 1, 58, 43, 36, 25, 23, 17, 10, 34, 48, 46, 68, 54, 25, 51, 28, 61, 66, 72, 47, 50, 24, 43, 35, 6, 56, 55, 44, 31, 48, 21, 48, 54]",-111,75,34.38,32.0071179583542,"[17, 14, 18, 20, 18, 16, 17, 16, 15, 18, 24, 40, 21, 40, 35, 11, 18, 33, 16, 24, 15, 10, 20, 17, 20, 12, 16, 12, 18, 14, 24, 18, 21, 21, 11, 21, 18, 22, 19, 13, 21, 13, 25, 23, 15, 18, 8, 18, 22, 20, 15, 15, 25, 16, 14, 20, 25, 17, 14, 11, 19, 18, 16, 15, 12, 17, 15, 27, 15, 16, 18, 17, 22, 17, 23, 20, 14, 16, 13, 15, 20, 14, 19, 14, 13, 8, 19, 19, 21, 15, 19, 27, 12, 15, 21, 20, 16, 23, 16, 15]",8,40,18.19,5.514879871765114,0.09005678117819953
10,0.6,0.9,0.9,0.02,"[52, 35, 46, 53, 34, 32, 63, 42, 68, 3, 19, 52, 52, 54, 50, 57, -8, 32, 40, 41, 38, 71, 50, 29, 3, 36, 30, 22, 23, 42, 51, 39, 66, 64, 52, 22, 32, 57, 50, -6, 55, 39, 10, 33, -25, 7, 41, 64, 50, 56, 48, -1, 22, 56, 58, 16, 48, 37, 72, 21, -2, -36, 32, 37, 73, 33, 3, 49, 33, 62, 53, 26, 52, 41, 46, 33, 32, 14, 61, 56, 58, 46, 9, 49, -35, 67, 63, 48, 62, 36, 40, -51, 38, 53, 75, 64, 39, 38, 47, 56]",-51,75,37.95,24.167488491773405,"[18, 17, 16, 16, 18, 18, 13, 14, 13, 22, 18, 16, 15, 16, 10, 15, 24, 21, 15, 18, 18, 12, 17, 18, 22, 19, 18, 21, 24, 17, 15, 18, 14, 13, 16, 22, 22, 14, 17, 23, 14, 18, 23, 21, 28, 22, 16, 13, 20, 12, 16, 21, 21, 14, 10, 23, 15, 17, 11, 17, 22, 30, 20, 16, 11, 18, 26, 16, 19, 17, 16, 23, 14, 16, 17, 21, 18, 19, 14, 15, 15, 16, 20, 16, 30, 14, 10, 17, 14, 16, 17, 41, 18, 13, 10, 12, 18, 15, 14, 16]",10,41,17.55,4.676269881005586,0.09005678117819953
10,0.6,0.9,0.9,0.02,"[63, 55, 47, 62, 68, 60, 27, 62, 61, 17, 35, 49, 66, 50, 38, 51, 28, 65, 19, 68, 47, 26, 46, 59, 55, 41, 25, 56, 30, 17, 66, 13, 17, 42, 22, 24, 5, 55, 11, 37, 43, -11, 55, 58, 55, 49, 43, 33, 69, 69, 45, 31, 51, 32, 40, 51, 56, 40, 70, 34, 42, 59, 21, 70, 54, 44, 52, 22, 66, 51, 62, 30, 27, 43, 61, 31, 58, 16, 32, 73, 49, 51, 43, 38, 55, 29, 41, 75, 56, 57, 32, 58, 32, 79, 24, 33, 61, 30, 47, 70]",-11,79,44.72,17.610269731040468,"[12, 13, 16, 14, 15, 11, 18, 15, 15, 24, 22, 15, 14, 17, 19, 16, 19, 13, 21, 13, 17, 19, 17, 16, 17, 17, 18, 12, 20, 25, 12, 21, 21, 15, 21, 19, 23, 12, 22, 18, 17, 23, 14, 16, 13, 14, 16, 19, 10, 11, 17, 21, 16, 22, 15, 14, 15, 20, 10, 19, 15, 12, 22, 13, 19, 18, 13, 21, 14, 16, 13, 20, 19, 17, 16, 19, 13, 23, 21, 13, 18, 16, 19, 17, 15, 22, 17, 11, 12, 14, 25, 14, 18, 11, 21, 22, 12, 21, 18, 14]",10,25,16.8,3.655133376499413,0.09005678117819953
10,0.6,0.9,0.9,0.02,"[41, 19, 49, 73, 32, 20, 49, 64, 42, 44, 55, 52, 34, 51, 49, 47, 36, 49, 40, 71, 53, 66, 59, 57, 38, 37, 46, 21, 69, 30, 56, 3, 61, 53, 30, 65, 70, 65, 71, 53, 37, 5, 32, 39, 48, 29, 39, 47, 39, 58, 67, 39, 20, 55, -17, 50, 76, 18, 37, 59, 79, 47, 41, -24, 35, 38, 13, 38, 37, 69, 59, 72, 62, 34, 65, 42, -6, 51, 24, 43, 17, 61, 50, 48, 31, 51, 19, 64, 40, 41, 41, 61, 51, 36, 57, 52, 53, 53, 39, 31]",-24,79,44.12,18.985404920622575,"[15, 20, 15, 10, 22, 19, 16, 13, 17, 14, 12, 14, 20, 16, 15, 17, 19, 17, 19, 11, 16, 12, 10, 13, 19, 17, 16, 21, 12, 22, 17, 23, 14, 16, 21, 13, 15, 17, 13, 17, 20, 22, 20, 15, 13, 18, 19, 15, 18, 13, 16, 16, 26, 14, 26, 16, 12, 23, 20, 15, 11, 17, 16, 24, 17, 16, 22, 16, 17, 11, 13, 11, 11, 18, 16, 18, 29, 15, 23, 18, 19, 14, 10, 19, 20, 14, 24, 13, 21, 18, 17, 15, 19, 15, 14, 11, 12, 16, 16, 20]",10,29,16.68,3.8519605397771146,0.09005678117819953
