env_size,epsilon,decay,gamma,alpha,all_rewards,min_reward,max_reward,mean_reward,var_reward,all_turns_elapsed,min_turns_elapsed,max_turns_elapsed,mean_turns_elapsed,var_turns_elapsed,mean_ending_epsilon
10,0.7,0.8,0.7,0.02,"[-1110, -2576, -824, -957, -108, -350, -2347, -1756, -906, -955, -183, -1195, -2973, -569, -1055, -174, -1156, -930, -282, -485, -1272, -144, -772, -577, -4058, -2202, -2262, -704, 20, -574, 3, -261, -974, 29, -11, -300, -136, -1657, -395, -27, -1653, -661, -15, -1598, -1224, -538, -125, -610, -42, -92, -21, -223, -296, -1732, -18, -329, -1004, 58, -85, -292, -64, -1127, -1003, -859, -222, -1352, -124, -47, 26, -129, 30, -83, 45, -59, -95, -162, 15, -1036, -42, -589, 61, -24, -63, -34, 4, 74, -427, -65, 53, 1, -27, 17, 25, 48, -40, -17, -22, -8, 12, -190]",-4058,74,-551.64,751.9012770304358,"[246, 610, 194, 217, 46, 85, 519, 394, 204, 207, 60, 272, 641, 127, 237, 63, 263, 224, 80, 131, 277, 55, 194, 139, 902, 485, 490, 174, 19, 149, 23, 70, 239, 22, 26, 79, 57, 379, 116, 28, 379, 162, 27, 336, 302, 116, 56, 171, 38, 46, 31, 64, 84, 398, 29, 85, 228, 12, 49, 64, 34, 215, 258, 210, 76, 335, 48, 29, 22, 60, 17, 39, 15, 38, 55, 53, 24, 256, 28, 152, 12, 26, 40, 24, 19, 9, 112, 38, 13, 29, 29, 20, 20, 17, 28, 27, 28, 26, 27, 56]",9,902,139.84,160.26619855727532,0.0939524096
10,0.7,0.8,0.7,0.02,"[-93, -51, -131, -164, 19, -437, 9, -639, 34, -9, -11, -110, -90, -20, 29, -510, 23, 64, -196, 18, 54, 43, 17, -47, -274, -64, 33, 16, 68, 27, -18, 50, -13, 43, -5, 5, 33, 14, 46, 39, 38, 58, 20, 21, -177, 60, -20, 61, 42, -7, 25, 7, 29, 30, -21, 34, 40, -17, 46, -58, -38, 47, 19, 41, -22, -259, 37, 31, -96, 10, 4, -3, -19, -21, 17, -177, 26, 41, 48, 53, 24, 10, -65, -16, 53, -199, -230, 14, -440, 36, 52, 35, 12, 68, 15, 58, -52, -21, -90, 13]",-639,68,-29.71,122.39095513966706,"[44, 30, 41, 46, 20, 111, 23, 175, 23, 23, 26, 43, 36, 26, 16, 95, 22, 12, 69, 18, 14, 15, 18, 39, 64, 40, 19, 22, 13, 20, 24, 15, 24, 18, 30, 23, 18, 25, 15, 20, 17, 16, 19, 15, 70, 12, 34, 15, 14, 29, 16, 20, 17, 18, 28, 20, 20, 29, 14, 36, 32, 19, 31, 13, 25, 82, 17, 20, 50, 19, 22, 25, 29, 37, 23, 60, 24, 16, 16, 16, 21, 28, 41, 34, 14, 66, 79, 22, 113, 18, 16, 20, 22, 11, 23, 11, 35, 27, 42, 23]",11,175,30.76,24.71724903786827,0.0939524096
10,0.7,0.8,0.7,0.02,"[-139, 41, 13, 16, 61, -19, -13, -160, -76, -21, 40, -18, -117, 37, -58, 51, 58, 48, 46, 14, 5, -18, 41, 15, 23, -17, 41, -406, -186, -385, 54, 30, -42, 52, -64, 46, 41, 10, -54, 47, -355, 58, -26, -2, 59, 16, -1, -105, 25, -159, 11, -42, -40, 6, 14, 7, 30, -23, 22, 46, 71, 43, 20, -251, -49, 43, -35, 70, 39, 55, 58, 2, 69, -34, 18, 26, -3, 54, -40, 42, 38, 48, 55, 45, -20, -34, 55, 56, 20, -19, -3, 54, 51, -113, -49, 23, -69, 29, 56, 24]",-406,71,-9.77,88.36422975389985,"[61, 16, 23, 19, 12, 25, 26, 58, 42, 35, 17, 27, 48, 16, 36, 14, 14, 11, 13, 23, 24, 34, 13, 22, 19, 29, 15, 100, 75, 106, 11, 14, 39, 15, 46, 18, 19, 19, 41, 17, 103, 14, 28, 24, 13, 19, 25, 57, 20, 61, 22, 26, 33, 22, 22, 23, 20, 31, 19, 17, 12, 17, 21, 75, 44, 17, 35, 10, 18, 12, 13, 22, 13, 30, 26, 20, 26, 14, 41, 17, 19, 18, 12, 16, 30, 30, 15, 13, 24, 30, 20, 13, 15, 50, 35, 22, 43, 18, 12, 21]",10,106,27.5,19.003420744697518,0.0939524096
10,0.7,0.8,0.7,0.02,"[-12, 74, 55, 48, 32, 60, -22, 65, -17, 4, -53, 63, 50, 47, -47, 42, -7, 55, 69, 25, -54, -66, 67, 17, -44, 7, 29, 77, 54, 48, 16, 29, -35, 36, 26, 23, 52, 57, 0, 45, 14, 32, 14, 32, -55, 48, 52, -213, 46, 27, 68, 29, 56, 33, 22, 53, 53, 42, 8, 6, 28, 45, -76, -67, 42, 61, 38, -30, 38, 4, 56, 49, 48, 44, 59, -46, 36, -58, 55, 33, 54, 34, 48, -91, -42, 46, 32, 25, 55, 12, 49, 58, 50, 58, 60, 71, 58, 32, 45, -14]",-213,77,22.81,45.20966600186292,"[26, 11, 13, 13, 16, 12, 25, 13, 24, 22, 39, 14, 13, 14, 29, 19, 23, 13, 12, 20, 28, 40, 11, 21, 29, 24, 17, 11, 13, 13, 21, 17, 34, 18, 19, 20, 13, 15, 23, 16, 21, 13, 24, 18, 31, 14, 14, 66, 14, 18, 11, 21, 12, 17, 20, 14, 14, 13, 29, 24, 20, 17, 35, 43, 14, 12, 14, 32, 17, 25, 12, 15, 16, 15, 13, 37, 16, 47, 16, 16, 17, 16, 19, 37, 31, 15, 18, 21, 13, 24, 15, 14, 20, 16, 13, 12, 16, 17, 17, 25]",11,66,19.9,9.00499861188218,0.0939524096
10,0.7,0.8,0.7,0.02,"[33, 50, 66, 54, 44, 68, 0, 61, 52, 42, 66, 50, 29, 13, 26, 36, 29, 67, 62, 53, 20, 21, 51, 37, 26, -23, 50, 39, 22, 25, 68, 57, 40, 35, 31, 19, 71, 76, 48, 67, 37, 25, 12, 10, 34, 71, 60, 55, 53, 34, 43, 65, 41, 27, 14, 67, -2, 71, 67, 65, 18, 31, -97, -8, 38, 65, 15, 64, 59, 40, 45, -14, 40, 50, 56, 27, 9, 49, -40, 59, 40, 44, -2, 9, 46, 37, 57, 42, 60, 42, 73, 73, 71, 19, 16, 41, 49, 70, 61, 11]",-97,76,38.95,26.95380307118088,"[19, 14, 13, 16, 18, 13, 25, 14, 14, 16, 12, 15, 18, 21, 18, 15, 21, 12, 16, 14, 20, 20, 15, 17, 22, 25, 13, 19, 21, 22, 11, 16, 16, 21, 19, 20, 12, 12, 16, 11, 21, 22, 18, 21, 22, 12, 10, 13, 14, 14, 16, 11, 17, 19, 21, 11, 22, 12, 12, 16, 20, 18, 45, 23, 18, 10, 22, 13, 11, 13, 16, 26, 19, 14, 14, 19, 25, 16, 30, 11, 19, 16, 23, 25, 15, 16, 18, 16, 13, 16, 11, 10, 12, 24, 22, 15, 14, 12, 15, 20]",10,45,17.11,5.13009746496107,0.0939524096
10,0.7,0.8,0.7,0.02,"[-4, 33, 8, 24, 42, 52, 41, 21, 45, 17, 70, 45, 51, 32, -4, 55, 6, 49, 39, 65, 65, 46, 45, 51, 25, 34, 64, 33, -6, 21, 58, 26, 23, 36, 43, 55, -18, 65, 51, 59, 4, 3, 23, 36, 23, 57, 18, 34, 31, 64, 52, 34, 12, 38, 60, 56, 62, 54, 40, 55, 69, 10, 77, 50, 47, -80, 19, 21, 41, 55, 19, 44, 42, 60, 38, 53, 67, 36, 8, 46, 38, 49, 5, 53, 31, 15, 52, 22, -1, 47, 66, 25, -4, 23, 39, 28, 65, 36, -6, 40]",-80,77,35.64,23.75984848436538,"[21, 16, 22, 22, 15, 17, 12, 18, 11, 19, 12, 17, 12, 17, 23, 13, 18, 14, 17, 12, 14, 15, 17, 15, 20, 16, 11, 17, 23, 18, 13, 21, 19, 18, 14, 17, 30, 10, 15, 15, 22, 26, 19, 18, 23, 14, 23, 19, 15, 13, 14, 18, 20, 21, 13, 12, 15, 13, 13, 16, 10, 23, 11, 17, 15, 40, 20, 18, 15, 14, 22, 14, 16, 13, 17, 17, 12, 16, 21, 19, 18, 14, 23, 17, 20, 24, 18, 22, 20, 14, 11, 17, 25, 22, 16, 21, 15, 16, 23, 15]",10,40,17.34,4.552405957293352,0.0939524096
10,0.7,0.8,0.7,0.02,"[-11, 64, -2, 54, 28, 52, 59, 46, 41, 12, 39, 35, 49, 46, 7, 68, 31, 48, 50, 37, 55, 16, 50, 37, -31, -48, 59, 67, 39, -91, 55, 50, -13, 36, 49, -92, 24, 52, 21, 33, 22, 46, 39, 52, 54, 47, 22, 31, 64, 28, 58, 49, 52, 47, 3, 38, 25, -19, 65, 46, 59, 41, 12, 44, 63, 26, 59, 52, -16, 33, 37, -8, 35, 36, -2, 50, -14, 51, 61, 50, -25, 29, 53, 57, 34, 12, 78, 61, 22, 14, 34, 64, 60, 16, 57, 36, -217, 70, 43, 76]",-217,78,31.33,39.371831301071076,"[24, 11, 26, 14, 17, 14, 12, 16, 19, 24, 16, 14, 14, 15, 19, 12, 18, 16, 14, 18, 13, 22, 16, 17, 33, 33, 14, 12, 18, 45, 17, 17, 27, 17, 16, 54, 18, 14, 15, 19, 18, 15, 16, 16, 14, 15, 21, 18, 13, 19, 13, 13, 14, 17, 25, 16, 20, 32, 13, 15, 13, 20, 23, 18, 14, 17, 15, 16, 24, 13, 17, 25, 17, 16, 27, 16, 25, 17, 12, 15, 25, 19, 13, 13, 19, 18, 11, 14, 17, 26, 18, 13, 13, 23, 14, 18, 78, 12, 16, 9]",9,78,18.62,8.867671622246732,0.0939524096
10,0.7,0.8,0.7,0.02,"[25, -2, 21, 54, 65, 48, 53, 18, 64, 28, 12, -2, 38, -4, 71, 50, 55, 41, 53, 64, 28, 38, 44, 51, 56, 45, 26, 31, 48, 58, 35, 57, 73, 52, 29, 47, 46, 48, 23, 46, 66, 32, 45, 50, 42, 65, 34, 69, 30, -22, 59, 72, -19, 51, 50, 64, -44, 37, 60, 52, 51, 40, 44, 68, 64, 71, 8, 47, 24, 20, 33, 58, 24, 33, 36, 67, 49, 33, 53, 27, 46, 18, 14, 47, 65, 55, 47, 45, 36, -48, 75, 52, -24, 50, 59, 48, 59, 24, 45, 43]",-48,75,40.32,23.817170276924166,"[20, 23, 20, 13, 13, 18, 14, 22, 12, 18, 25, 28, 15, 28, 12, 14, 13, 17, 15, 11, 17, 18, 16, 14, 12, 15, 19, 20, 13, 14, 18, 13, 12, 14, 24, 16, 17, 15, 18, 15, 12, 17, 17, 13, 17, 13, 15, 13, 16, 29, 15, 11, 28, 14, 16, 13, 36, 16, 14, 12, 13, 16, 15, 11, 14, 12, 24, 16, 23, 20, 19, 16, 23, 17, 19, 11, 17, 18, 16, 19, 17, 21, 19, 15, 13, 12, 17, 16, 18, 32, 10, 14, 29, 15, 13, 16, 15, 23, 15, 16]",10,36,16.93,4.87084181635988,0.0939524096
10,0.7,0.8,0.7,0.02,"[15, 70, 23, 39, 59, 61, 42, 37, 73, 45, 46, 34, 56, 26, 19, 36, 52, 50, 66, 73, 9, 24, 27, 54, 49, 69, 53, 47, 51, 66, 62, 20, 71, 69, 42, 76, 25, 40, 57, 28, 46, 49, 38, 52, 38, 62, 42, 65, 59, 65, 44, 46, 39, 37, 45, 38, 28, 43, 19, -5, -26, 56, 16, 63, 54, 74, 14, 52, 62, 21, 60, 19, 40, 58, 27, 67, 13, 57, 2, 38, 53, 19, 27, 62, 71, 38, 62, -51, 50, 7, 34, 69, 38, 60, 52, 65, 11, 25, 52, 53]",-51,76,42.75,21.930059279445643,"[24, 12, 24, 16, 13, 13, 17, 15, 10, 13, 12, 18, 11, 20, 21, 18, 14, 15, 16, 13, 22, 17, 21, 15, 14, 11, 13, 12, 15, 12, 14, 19, 9, 13, 18, 9, 19, 15, 14, 20, 15, 15, 18, 14, 18, 14, 14, 13, 14, 13, 16, 13, 18, 17, 17, 19, 20, 16, 21, 23, 32, 14, 19, 14, 13, 11, 26, 16, 11, 19, 14, 20, 15, 14, 20, 14, 22, 16, 26, 14, 13, 22, 17, 14, 12, 20, 12, 36, 13, 25, 22, 10, 17, 14, 15, 13, 20, 21, 15, 14]",9,36,16.4,4.571651780264984,0.0939524096
10,0.7,0.8,0.7,0.02,"[25, 27, 56, 46, 50, 65, 31, -9, 33, 22, 23, 32, 14, 32, 31, 5, 39, 25, 40, -48, 12, -25, 60, 24, 55, 2, 15, 37, -52, 51, 14, 47, 31, 52, 47, 64, 8, 31, 33, 52, 58, 41, 53, 49, 72, 44, 37, 51, 50, 48, 26, 55, 52, 60, 34, 51, 7, 50, 37, 32, -5, 36, 33, 41, 3, 55, 26, 31, 54, 17, 41, 41, 6, 22, -3, 33, 22, 4, 30, 59, 16, 26, 42, 51, 3, 53, -22, 59, 11, 62, 52, 70, 24, 57, 4, 19, 33, 55, 25, 40]",-52,72,32.3,23.315874420660272,"[19, 21, 15, 19, 17, 13, 22, 27, 17, 21, 21, 21, 19, 19, 19, 22, 18, 16, 16, 32, 21, 30, 15, 23, 13, 23, 24, 17, 36, 15, 20, 17, 18, 16, 14, 11, 23, 19, 19, 17, 16, 16, 15, 15, 11, 15, 17, 14, 17, 16, 20, 15, 16, 13, 16, 16, 19, 16, 15, 20, 25, 19, 18, 14, 30, 17, 17, 23, 14, 25, 19, 15, 22, 25, 25, 16, 19, 22, 17, 14, 21, 19, 17, 14, 21, 14, 29, 11, 24, 11, 14, 13, 19, 16, 22, 20, 20, 12, 20, 17]",11,36,18.53,4.616178072821714,0.0939524096
