env_size,epsilon,decay,gamma,alpha,all_rewards,min_reward,max_reward,mean_reward,var_reward,all_turns_elapsed,min_turns_elapsed,max_turns_elapsed,mean_turns_elapsed,var_turns_elapsed,mean_ending_epsilon
10,0.7,0.7,0.7,0.01,"[-722, -154, -2176, -1783, -1221, -544, -3658, -3039, -819, -2616, -1492, -759, -1117, -1321, -680, -399, -790, -7, -927, -81, -30, -159, -564, -1049, -383, -78, -422, -1071, -2085, 25, -218, -355, -242, -1720, -459, -664, -119, -447, 68, -323, 50, -166, -2830, -2292, -503, -346, -183, -84, 29, 63, -2307, -130, -36, -272, -1326, -595, -232, -1045, -27, -140, -214, -331, -17, 63, -46, -156, -135, -313, -41, -337, -165, -27, -122, 38, -1451, -711, -9, 20, -36, -39, -123, -80, -68, -69, 41, -977, -36, -997, -43, 31, -536, -121, 68, -876, -315, -174, -399, -1809, 12, -799]",-3658,68,-582.71,764.8629196790756,"[186, 56, 503, 392, 282, 134, 794, 654, 182, 569, 352, 196, 238, 302, 174, 84, 188, 25, 195, 38, 32, 65, 126, 255, 105, 42, 124, 227, 487, 16, 67, 103, 77, 395, 119, 163, 55, 129, 9, 94, 16, 70, 646, 505, 145, 98, 68, 40, 20, 11, 522, 54, 35, 82, 306, 136, 73, 254, 28, 61, 70, 87, 31, 11, 29, 46, 52, 83, 32, 95, 63, 31, 52, 16, 360, 186, 29, 20, 34, 25, 43, 43, 44, 32, 14, 247, 31, 250, 32, 16, 137, 53, 11, 215, 91, 80, 124, 461, 23, 189]",9,794,148.92,163.9235602346411,0.08235429999999999
10,0.7,0.7,0.7,0.01,"[74, 60, -279, -325, 1, 45, 3, 75, -42, -444, -13, -213, 65, -128, 78, 39, 56, -3, 41, -42, 26, -28, -807, 6, -105, -55, -172, -591, 39, 55, -1607, 76, 56, 58, -81, 25, -3277, -194, -43, 4, 69, 37, 25, 12, 47, 45, 55, 72, 26, 69, 39, 30, 69, -168, -131, -170, -1931, -289, 41, 41, 4, -54, 60, 25, -34, 37, 30, -36, -133, -19, -131, 61, -35, 63, 56, 65, 14, 53, -9, 59, 33, 70, -26, 64, -58, 17, 7, 55, -76, 59, -4, -919, -913, -198, -1093, 41, 74, 38, -391, 68]",-3277,78,-126.55,451.7186375388998,"[12, 11, 73, 94, 21, 17, 23, 9, 30, 111, 29, 54, 11, 52, 8, 21, 12, 24, 18, 37, 24, 25, 224, 26, 46, 41, 62, 160, 14, 14, 372, 9, 12, 12, 49, 19, 747, 77, 33, 24, 10, 19, 21, 27, 19, 17, 15, 9, 22, 10, 22, 24, 8, 63, 48, 54, 492, 106, 15, 15, 20, 39, 11, 24, 32, 17, 15, 36, 48, 27, 53, 13, 30, 13, 12, 12, 24, 11, 23, 12, 20, 10, 30, 12, 34, 16, 24, 14, 40, 11, 24, 245, 260, 68, 277, 19, 8, 17, 120, 9]",8,747,54.03,102.51794525837904,0.08235429999999999
10,0.7,0.7,0.7,0.01,"[-700, -62, 52, 76, 70, 24, 46, 58, 24, -2, -19, 75, -390, 46, 51, 75, 72, 29, 30, 40, 68, 43, 52, 4, 66, 57, 58, 86, 74, 64, 73, 38, 61, 28, 64, 68, -54, 18, 46, 58, 49, 13, 69, 44, 29, 23, 55, 54, 55, -5, 20, 53, -31, -703, 59, 77, 30, 80, 52, 72, 55, 36, 56, 37, 21, 80, 47, -1, -172, 45, 41, 48, 17, -59, 30, 64, 53, 55, 61, 50, 59, 78, 57, 87, 17, 47, 34, 72, 60, 54, 60, 49, 62, 73, 53, 22, 20, -273, -7, 71]",-703,87,19.21,121.27978355851397,"[209, 43, 14, 10, 8, 24, 16, 13, 19, 31, 37, 10, 106, 14, 15, 7, 12, 19, 18, 18, 9, 17, 12, 27, 12, 14, 11, 7, 10, 13, 9, 21, 16, 17, 11, 11, 37, 18, 13, 10, 14, 19, 9, 16, 19, 19, 15, 14, 15, 31, 23, 15, 34, 182, 12, 9, 19, 9, 13, 11, 12, 19, 15, 18, 22, 8, 18, 21, 58, 15, 15, 16, 27, 40, 22, 14, 12, 10, 14, 15, 13, 8, 15, 6, 20, 19, 22, 13, 12, 16, 12, 13, 14, 9, 16, 18, 19, 70, 33, 7]",6,209,21.82,28.182398762348104,0.08235429999999999
10,0.7,0.7,0.7,0.01,"[-219, -44, 70, -2, -119, -131, 25, 25, -34, -6, -63, 2, 51, 1, 8, 27, 21, -15, -464, 11, 63, 6, 25, 22, 58, 63, -12, 62, -119, -25, 38, 69, 47, 43, -10, 55, -10, -36, 64, 30, 40, 20, 34, -187, -66, -236, 69, 61, -100, -47, 53, -19, 35, -18, 86, 50, 16, 19, 26, -400, 46, 40, -187, -59, 32, 42, -17, 84, 80, 32, 71, 76, 69, 64, 53, 3, 72, 37, 73, 23, 66, -95, -5, 49, 71, 57, 70, 9, 77, 59, 48, -28, 30, 38, 50, 65, 76, 72, 66, 40]",-464,86,4.62,90.43481409280388,"[71, 38, 10, 23, 67, 67, 28, 18, 34, 25, 46, 25, 14, 26, 26, 25, 22, 26, 100, 23, 14, 25, 18, 20, 9, 11, 21, 10, 53, 30, 15, 10, 18, 16, 24, 15, 33, 32, 13, 19, 17, 24, 21, 71, 39, 82, 8, 10, 38, 32, 11, 32, 16, 31, 6, 16, 24, 24, 26, 115, 13, 15, 57, 46, 18, 15, 34, 8, 7, 17, 11, 7, 10, 12, 13, 25, 11, 17, 8, 27, 12, 41, 23, 13, 9, 12, 9, 22, 9, 12, 15, 31, 17, 20, 14, 10, 10, 10, 10, 14]",6,115,24.47,19.355854411521076,0.08235429999999999
10,0.7,0.7,0.7,0.01,"[19, 76, 64, 70, 76, 72, 35, 11, 78, 46, 40, 63, 60, 70, 41, -8, 15, 32, 73, -57, -734, 74, 56, 69, 79, 60, 83, 48, 28, -554, 67, 65, 59, 10, 41, -1, 80, 72, 63, 33, 34, 80, 32, -6, -27, -13, -66, 60, -38, 44, 70, 34, 45, 33, 68, 41, 52, 79, 58, 0, 6, 86, 36, 30, 48, 41, 63, 66, -3, 38, 59, 61, 70, 39, 29, 55, 36, 65, 55, 70, 49, 34, 59, 46, 75, 44, 55, -12, 44, 55, 65, 65, 76, 48, 51, 76, 81, 67, 0, 79]",-734,86,31.61,102.02185011065032,"[29, 12, 9, 11, 10, 11, 18, 22, 9, 17, 17, 11, 13, 8, 15, 25, 26, 17, 10, 36, 197, 8, 16, 8, 8, 12, 9, 14, 17, 140, 11, 12, 13, 24, 13, 21, 7, 9, 14, 18, 17, 8, 20, 29, 26, 24, 41, 9, 30, 14, 8, 18, 18, 16, 13, 17, 15, 11, 11, 24, 26, 7, 15, 17, 13, 19, 13, 7, 25, 16, 11, 10, 12, 15, 17, 15, 19, 13, 14, 10, 14, 19, 12, 18, 8, 13, 13, 27, 15, 12, 10, 14, 11, 16, 14, 9, 7, 12, 21, 10]",7,197,18.35,22.75626287420674,0.08235429999999999
10,0.7,0.7,0.7,0.01,"[15, 64, 16, 54, 78, 60, 68, 25, 87, 66, 12, 71, 32, 67, 57, 58, -41, 60, 24, 39, 75, 71, 52, 3, 48, 54, 70, 29, 79, 66, 63, 45, 18, 53, 51, 75, 45, 5, -10, 41, 70, 57, 67, 50, 13, 61, 87, 74, 52, 32, 33, -60, 23, 13, 55, 34, 66, -6, 62, 42, 37, 54, 53, 44, -16, 66, -117, 24, 46, 12, 58, 78, 57, 30, 65, 78, 88, 32, 75, 60, 17, 80, 31, 57, 69, 58, 72, 22, 67, 49, 58, -42, 54, 33, 57, 28, 40, 83, 34, -53]",-117,88,43.08,33.794875351153465,"[22, 14, 20, 14, 10, 10, 9, 20, 6, 12, 28, 11, 17, 11, 12, 9, 29, 17, 22, 16, 9, 10, 16, 23, 14, 13, 10, 19, 11, 11, 9, 14, 18, 13, 15, 7, 15, 23, 28, 14, 12, 14, 13, 10, 23, 16, 6, 8, 12, 21, 18, 30, 21, 18, 13, 19, 11, 24, 14, 14, 14, 16, 16, 18, 29, 12, 50, 18, 14, 23, 14, 9, 11, 19, 14, 8, 5, 17, 8, 10, 23, 10, 19, 12, 11, 13, 9, 19, 11, 15, 13, 27, 14, 19, 12, 19, 16, 9, 17, 44]",5,50,15.75,7.097006411156749,0.08235429999999999
10,0.7,0.7,0.7,0.01,"[57, 54, 66, 73, 5, 54, 70, 27, 56, 69, 26, 83, 73, 59, 32, 12, 72, 79, 72, 42, 47, 33, 57, 76, 67, 63, 66, 41, 35, 61, 69, -7, 76, 66, 61, 64, 72, 54, 9, 41, 39, 46, 72, 67, 69, 60, 62, 72, 23, 46, 33, 78, 37, 67, 38, 31, -43, -13, 57, 44, 76, 47, 87, 51, 40, 83, 60, 43, 57, 72, 25, 81, 62, 68, 71, 37, 76, 13, 54, 81, 71, 59, 56, 80, 65, 59, 42, 34, 66, 44, 35, 71, 55, 33, 40, 74, 73, 60, 55, 52]",-43,87,53.25,22.3934700303459,"[12, 13, 10, 8, 21, 16, 8, 18, 15, 10, 22, 8, 9, 15, 16, 21, 11, 8, 11, 21, 12, 18, 12, 10, 11, 10, 13, 14, 18, 13, 8, 24, 9, 13, 13, 12, 11, 12, 21, 13, 15, 12, 8, 11, 15, 10, 15, 10, 23, 16, 18, 8, 16, 13, 17, 19, 35, 23, 13, 20, 7, 16, 6, 16, 12, 8, 15, 12, 11, 9, 20, 7, 11, 11, 11, 19, 7, 24, 14, 7, 9, 13, 14, 7, 14, 13, 17, 18, 10, 13, 17, 10, 15, 18, 18, 11, 9, 12, 14, 12]",6,35,13.64,4.830155277007148,0.08235429999999999
10,0.7,0.7,0.7,0.01,"[41, 36, 67, 24, 73, 43, 68, 49, 74, 80, 47, 42, 74, 44, 40, 15, 57, 63, 44, 35, 64, 50, 68, 73, 60, 39, 74, 66, 57, 62, 77, 76, 64, 57, 63, 35, 69, -186, 44, 59, 65, 17, 61, 66, 28, 72, 25, 51, 37, 65, 80, 29, 72, 33, 65, -107, 64, 56, -21, 43, 66, 53, 13, 47, 69, 37, 65, 47, 65, 56, 88, 41, 57, 53, 55, 24, 1, 30, 20, 29, 75, 76, -8, 60, 51, 61, 62, 60, 66, 86, 69, 64, 41, 59, 57, 58, 55, 3, 56, 48]",-186,88,48.03,34.80041810093666,"[16, 18, 11, 21, 9, 16, 11, 15, 8, 7, 17, 23, 10, 14, 15, 20, 13, 11, 12, 17, 11, 14, 15, 10, 10, 18, 11, 9, 15, 12, 8, 9, 12, 16, 13, 19, 11, 53, 15, 11, 13, 24, 10, 12, 16, 9, 20, 17, 14, 12, 8, 20, 10, 21, 10, 47, 10, 10, 28, 13, 13, 16, 27, 18, 9, 17, 10, 17, 10, 14, 5, 15, 13, 15, 16, 19, 26, 18, 25, 18, 10, 10, 25, 13, 14, 10, 12, 13, 13, 6, 11, 13, 17, 13, 12, 11, 12, 20, 17, 13]",5,53,14.86,6.851306444759277,0.08235429999999999
10,0.7,0.7,0.7,0.01,"[53, 42, 57, 42, 66, 61, 73, 47, 62, 55, 68, 27, 70, 74, 46, 68, 34, 71, 54, 49, 65, 68, 71, 42, 37, 45, 60, 28, 79, -47, -12, -22, 71, 44, -36, -24, 59, 64, 77, 54, 68, 41, 53, 59, 80, 49, 52, 77, 21, 75, 25, 69, 33, 58, 50, 81, 86, 46, 67, 59, 50, 62, 41, 74, 55, 74, 78, 45, -17, 37, -139, 55, 71, 61, 81, 37, 67, 51, 72, 66, 79, 33, 26, 45, 34, 33, 68, 43, 71, 11, 51, 67, 37, 32, -104, 49, 74, 56, 56, 50]",-139,86,47.23,34.862545804917914,"[18, 18, 12, 16, 12, 14, 11, 14, 16, 15, 10, 20, 8, 8, 16, 11, 17, 10, 15, 17, 12, 10, 10, 19, 17, 17, 12, 18, 7, 44, 29, 39, 9, 14, 33, 28, 15, 10, 8, 15, 12, 16, 12, 16, 9, 13, 15, 9, 20, 7, 19, 10, 18, 12, 14, 7, 7, 14, 13, 10, 14, 14, 14, 8, 12, 9, 8, 15, 27, 18, 61, 13, 10, 12, 9, 16, 11, 17, 11, 9, 8, 18, 19, 13, 17, 20, 11, 15, 9, 21, 16, 15, 17, 19, 43, 16, 9, 12, 16, 15]",7,61,15.34,8.146434803028868,0.08235429999999999
10,0.7,0.7,0.7,0.01,"[57, 77, 38, 35, 40, 37, 67, 14, 16, 62, -33, 63, 57, 67, 37, 53, 22, 58, 78, 74, 75, 44, 59, 55, 44, 66, 72, 73, 79, 51, 59, 82, 52, 58, 58, 76, -237, 83, -9, -471, 63, 57, 64, 62, 42, 73, 58, 26, 71, 66, 71, 45, 34, 74, 57, 60, 59, 58, 79, 81, 73, 79, 55, 68, 51, 44, 53, 70, 56, 53, 43, 49, 69, 42, 71, 55, 54, 46, 64, 50, 63, 61, 37, 69, 50, 72, 64, 80, 55, 69, 71, 52, 68, 49, 71, 44, 27, 9, 73, 62]",-471,83,47.79,62.688004434660385,"[13, 9, 20, 18, 19, 21, 13, 22, 23, 11, 31, 11, 14, 12, 18, 13, 18, 15, 8, 8, 8, 15, 13, 16, 18, 10, 9, 9, 11, 19, 13, 6, 12, 10, 14, 10, 82, 8, 26, 130, 13, 14, 14, 13, 17, 11, 17, 22, 9, 10, 9, 13, 19, 10, 9, 17, 12, 14, 9, 7, 9, 8, 13, 9, 15, 17, 16, 13, 14, 15, 18, 13, 12, 14, 12, 13, 13, 17, 11, 13, 11, 10, 17, 11, 15, 10, 11, 10, 13, 13, 12, 16, 11, 13, 8, 14, 19, 26, 9, 12]",6,130,15.41,14.084100965272864,0.08235429999999999
