env_size,epsilon,decay,gamma,alpha,experiment_mean_rewards,experiment_max_rewards,experiment_mean_turns_elapsed,experiment_min_turns_elapsed
5,0.7,0.7,0.7,0.01,"[2.364, 9.356, 9.744, 9.526, 9.658, 10.144, 9.312, 10.156, 9.89, 9.942, 10.384]",10.384,"[5.848, 4.82, 4.832, 4.824, 4.772, 4.716, 4.878, 4.726, 4.758, 4.734, 4.7]",4.7
10,0.7,0.7,0.7,0.01,"[-303.886, 0.668, 24.576, 30.452, 30.458, 30.696, 31.044, 31.028, 32.106, 29.146, 29.198]",32.106,"[93.706, 28.288, 21.464, 20.228, 20.04, 20.11, 20.262, 20.16, 19.832, 20.384, 20.292]",19.832
15,0.7,0.7,0.7,0.01,"[-11702.262, -26761.566, -29320.938, -32792.44, -7421.59, -3524.466, -3709.296, -5294.484, -3552.34, -1215.714, -3828.99]",-1215.714,"[3492.002, 8099.112, 8877.824, 9921.066, 2297.318, 1125.074, 1182.828, 1658.526, 1135.366, 432.538, 1218.234]",432.538
20,0.7,0.7,0.7,0.01,"[-5799.076, -10718.92, -14009.494, -8879.83, -14704.988, -13910.156, -7447.096, -11731.78, -10283.114, -9666.402, -16579.292]",-5799.076,"[1686.96, 3314.698, 4288.416, 2764.28, 4497.61, 4271.822, 2331.01, 3608.248, 3178.942, 2993.498, 5063.33]",1686.96
